Key,Value
X----OO-X,0.3470587664233577
X----O--X,0.3388204649635037
-----O--X,0.24806395690100436
XOXOXOOXX,0.1
XOXO-OOXX,0.010000000000000002
XOXO-O-XX,0.00047191011235955067
XOXO-O--X,0.3600342857142857
XOXO----X,0.37674674418604653
-OXO----X,0.5304215571428572
--XO----X,0.420283432631579
OOX--OXXX,1
OOX--OXX-,0.6625263888888889
O-X--OXX-,0.4303145833333334
O-X--O-X-,0.25787800000000005
--X--O-X-,0.162791779197995
-O--OXXOX,0
----OXXOX,0.13206945652173913
----O-X-X,0.3470569571782179
XOOXO-OXX,0
XOOX--OXX,0.0004942528735632185
-OOX--OXX,3.750000000000001e-05
-OOX---XX,0.16568443181818182
-OO----XX,0.3408673846153846
-O-----XX,0.3237044133819952
-O------X,0.30818739378881993
OXOX-XOOX,0.010000000000000002
OXOX-XO-X,0.0004938271604938273
OX---XO-X,0.1620018888888889
O----XO-X,0.3399924538461539
-----XO-X,0.30607929559585495
OX-OXX-XO,1
OX-O-X-XO,0.22076792452830188
OX---X-XO,0.21000123456790123
OX---X--O,0.1894254251968504
XO-O-XXOX,0.0005063291139240508
XO-O--XOX,0.287263829787234
XO----XOX,0.2667098780487805
XO-----OX,0.4304287619047619
OXOX-X-OX,0.0010000000000000002
O-OX-X-OX,0.25719285714285717
O--X-X-OX,0.42827850574712645
O--X---OX,0.18349041496598642
O--X----X,0.11989650532994926
XXOOXXXOO,0.1
X-OOXXXOO,0.010000000000000002
X-OOXXXO-,0.0010000000000000002
X-OO-XXO-,0.00010000000000000003
X-O--XXO-,0.192381875
X-O--X-O-,0.22386659055118113
X-OX-XOOX,0.0005308641975308643
--OX-XOOX,0.24548727272727272
--OX-X-OX,0.1667675
--O--X-OX,0.14966276821192054
-----X-OX,0.30094939460154246
XXOOOXXOX,0.1
XXOOO-XOX,0.010000000000000002
XXO-O-XOX,0.0010000000000000002
-XO-O-XOX,0.00010000000000000003
-XO-O-X--,0.1534743082706767
-XO---X--,0.13662136513317194
OO-O-XXXX,1
OO-O-X-XX,0.6230769230769231
O--O-X-XX,0.3650718309859155
O--O---XX,0.42195010000000005
XOOXXOOXX,0.1
XOOX-OOXX,0.010000000000000002
XOOX-O-XX,0.0010000000000000002
XOOX-O--X,0.5842456140350877
XOOX----X,0.4500018518518519
XOO-----X,0.4723423421052632
X-O-----X,0.33206012512315275
XOXXOO-OX,0
X-XXOO-OX,0.0004791666666666668
X--XOO-OX,0.19836949152542374
X--XOO--X,0.20022955056179775
---XOO--X,0.12522759509202455
---XO---X,0.09546032217090071
-XOXOOOXX,0
-X-XOOOXX,0.0005308641975308643
-X-XOOO-X,6.363636363636365e-05
-X-XOO--X,7.90697674418605e-06
-X--OO--X,0.11725216083916086
XOOXXO-XO,0
XOOXX--XO,0.0005168539325842697
-OOXX--XO,0.36001636363636363
-O-XX--XO,0.20494469879518074
-O-XX---O,0.5015044453781513
-O-XX----,0.35104514009546545
-O-X-----,0.24275544231977164
X-O-XXXOO,0.0010000000000000002
X-O-X-XOO,0.239115625
X-O-X-XO-,0.4006493548387097
X-O---XO-,0.3455078235294118
XXXOXOOOX,0.1
-XXOXOOOX,0.010000000000000002
-XXOXOO-X,0.0004933333333333335
-XXO-OO-X,0.34202
-XXO--O-X,0.35132566265060244
-XXO--O--,0.4134793966942149
-O--O-XXX,1
-O--O-X-X,0.47250006521739135
-O----X-X,0.36761102248243566
XXOXXOOOX,0.1
-XOXXOOOX,0.010000000000000002
-XOXXOO-X,0.0010000000000000002
--OXXOO-X,0.30006666666666665
---XXOO-X,0.15577730769230771
---XXOO--,0.11706638686131389
---XXO---,0.14330610710526318
OOOXX-XOX,0
OO-XX-XOX,0.0005866666666666668
OO-XX--OX,0.34416470588235293
O--XX--OX,0.2537409638554217
O--X-----,0.15613278678260872
OO-XXX-OX,1
O---X--OX,0.19718914754098363
----X--OX,0.37476416310432575
XX-OXO-XO,1
XX-O-O-XO,0.6051724137931035
XX---O-XO,0.34875180555555557
-X---O-XO,0.3523065564516129
-X-----XO,0.25975184890510955
-X------O,0.222734325139785
XO-XXO-OX,1
-O-XXO-OX,0.45005
-O-XX--OX,0.4104042666666667
-O-XX--O-,0.5597874326241136
O-XXOXOXO,0
O-XXOXOX-,0.0006176470588235295
O--XOXOX-,4.193548387096775e-05
---XOXOX-,3.2911392405063306e-06
---XO-OX-,5.862068965517244e-07
---XO--X-,0.09126854251968505
----O--X-,0.13175840809453473
XO-OOXXOX,0
XO-OOXX-X,0.0005263157894736843
XO-OOXX--,6.315789473684213e-05
XO--OXX--,0.15070162790697675
XO--OX---,0.04824315441176471
-O---X---,0.21955229019117653
XOOXXXOOX,0.1
XOOX-XOOX,0.010000000000000002
XOOX-XO-X,0.0005066666666666668
XOO--XO-X,0.25004074074074073
XO---XO-X,0.39434486842105265
XO---XO--,0.2025004523809524
X----XO--,0.14848582500000002
XX-XOXOOO,0
XX-XOXOO-,0
XX--OXOO-,0.28033934426229506
XX---XOO-,0.13351857142857143
X----XOO-,0.27410413600000005
XOXOXXXOO,0.1
XOXOXX-OO,0.010000000000000002
XOXOXX-O-,0.0010000000000000002
XO-OXX-O-,0.28131875
X--OXX-O-,0.21732268292682927
X--OX--O-,0.4609331946308725
X--OX----,0.3737145358722359
--XOOOX-X,0
--X-OOX-X,0.1335189010989011
--X-OO--X,0.1223872189781022
--X--O--X,0.15218819484536086
--X--O---,0.23446161111346026
XO-O-X-OX,0.6136545454545455
X--O-X-OX,0.44719093750000005
X--O---OX,0.5080071164383562
X--O----X,0.38460972240184765
OX-OX--X-,1
OX-OX----,0.31246703703703704
OX--X----,0.30896594949494954
XOOOX--XX,1
-OOOX--XX,0.6381981818181819
-OO-X--XX,0.3345669565217392
-OO-X---X,0.43295086619718315
--O-X---X,0.3648504117048347
OXXXOOOXX,0.1
OX-XOOOXX,0.010000000000000002
OX-X-OOXX,0.0010000000000000002
OX-X-OO-X,0.00010000000000000003
-X-X-OO-X,8.024691358024694e-06
-X-X-OO--,0.17780542276422767
-X-X--O--,0.14141507318295743
XOXO-XOXO,0.010000000000000002
XOXO-XOX-,0.0010000000000000002
XO-O-XOX-,0.00010000000000000003
XO---XOX-,8.607594936708865e-06
-O---XOX-,0.18352500699300703
-O---X-X-,0.12191594474327631
-O-----X-,0.16298022657612585
-XXOX-XOO,1
-XXO--XOO,0.6102016949152542
-XXO--XO-,0.3793716455696203
-XXO---O-,0.5004002785714287
XXOO-XXOO,0.010000000000000002
XXOO-XX-O,0.0010000000000000002
X-OO-XX-O,0.00010000000000000003
X--O-XX-O,1.0000000000000004e-05
-----XX-O,0.12440343194805198
XOOOOXXXX,0.1
XOOOOX-XX,0.010000000000000002
XO-OOX-XX,0.0010000000000000002
-O-OOX-XX,0.5167092592592593
-O-O-X-XX,0.3426961538461539
-O-O-X--X,0.43906062931034484
---O-X--X,0.3043315735897436
XXXXOOOOX,0.1
-XXXOOOOX,0.010000000000000002
-XXX-OOOX,0.0010000000000000002
-XXX-OOO-,0.33337962962962964
-XXX-O-O-,0.17357809523809525
-X---O---,0.235409129431901
XOO-OXOXX,0
XOO-OX-XX,0.0004533333333333334
XOO-O--XX,0.30568490566037737
X-O-O--XX,0.16758775862068967
X-O-O--X-,0.12150022807017545
X-O----X-,0.12226539317585304
XOXOXOOX-,0.010000000000000002
XOX-XOOX-,0.0010000000000000002
-OX-XOOX-,0.00010000000000000003
-OX-XO-X-,0.24750694444444446
-OX-XO---,0.4511355585585586
--X-XO---,0.3748323233595801
----XO---,0.31580568846270934
OX-OXXOOX,0
OX-OXX-OX,0.0005844155844155845
OX-OXX-O-,7.538461538461541e-05
---OXX-O-,0.20285273043478264
----XX-O-,0.3605733829949239
----X--O-,0.31018840238670703
-OXOOXXXO,0.010000000000000002
-OXOOXXX-,0.0010000000000000002
-OXOO-XX-,0.2833981481481482
-OX-O-XX-,0.1778107317073171
-OX-O-X--,0.18069257264957267
X-XOXOX-O,1
X-XOXO--O,0.6577192307692308
X-XOXO---,0.676710506329114
X--OXOOXX,1
X----OOX-,0.2304931323529412
X-----OX-,0.1389916255125285
