Key,Value
X-O---XOX,0.41657457142857146
X-O----OX,0.4018923741007195
X-O-----X,0.3236087202898551
OXOXXOOXX,0.1
OXOXXOO-X,0.010000000000000002
-XOXXOO-X,0.0010000000000000002
-XOXXOO--,0.3197855263157895
-XOXX-O--,0.4294010843373494
-XO-X-O--,0.46235320915032685
-XO-X----,0.2939172526582279
--O-X----,0.2817485096608947
XXOXOXXOO,0.1
XXOXOX-OO,0.010000000000000002
XXOXOX-O-,0.0005384615384615385
XXO-OX-O-,6.74418604651163e-05
XX--OX-O-,0.2732573493975904
-X--OX-O-,0.1867690578512397
-X--OX---,0.08610240761154857
-X--O----,0.13493928666900917
OXOXXOXOX,0.1
OXOXXOXO-,0.010000000000000002
OX-XXOXO-,0.0010000000000000002
OX-X-OXO-,0.00010000000000000003
OX-X-OX--,6.5853658536585395e-06
OX-X-O---,0.0996481438848921
OX-X-----,0.08536000663265307
O--X-----,0.1462056136015038
OX-XXXO-O,1
OX-X-XO-O,0.3203576271186441
OX-X-XO--,0.1778089024390244
OX-X--O--,0.17780539024390246
OXXXOOXO-,0.010000000000000002
-XXXOOXO-,0.0010000000000000002
-XX-OOXO-,0.33938852459016394
-XX-O-XO-,0.172130625
--X-O-XO-,0.12446374390243904
--X---XO-,0.3699839973684211
--X----O-,0.3187253386044831
OXXXOOX--,0.0006436781609195403
OXXXOO---,6.285714285714287e-05
-XXXOO---,0.2025063157894737
--XXOO---,0.14040062962962965
OOXXOXXO-,0
OOXX-XXO-,0.00036486486486486495
OOX--XXO-,0.698520895522388
O-X--XXO-,0.45692461538461543
O-X---XO-,0.419260051948052
OOOOXXX-X,0
OO-OXXX-X,0.0004883720930232559
OO-OXXX--,0.37361509433962264
O--OXXX--,0.25176175675675677
O--O-XX--,0.29386093798449614
---O-XX--,0.13839616145833336
---O--X--,0.24237853397909415
XXOXO-X-O,1
XXO-O-X-O,0.18627241379310344
XXO---X-O,0.14464666666666667
X-O---X-O,0.29700045
X-O---X--,0.3036522128019324
--O---X--,0.20757480751965696
OXOOXXXXO,0.1
OXOO-XXXO,0.010000000000000002
OXO--XXXO,0.0005324675324675326
O-O--XXXO,4.153846153846155e-05
--O--XXXO,7.64044943820225e-06
--O--XX-O,0.10935070714285716
--O--XX--,0.10852787944862158
OOXXXOXOX,0.1
OOXXXO-OX,0.010000000000000002
OOXXXO--X,0.0010000000000000002
OOX-X----,0.4472072586206897
O-XOXOX-X,1
O--OXOX-X,0.6113528301886793
---OXOX-X,0.5815412820512821
---OXOX--,0.5271654608695653
---OX-X--,0.3668031732530121
---OX----,0.3081309964028778
O-X-XOX--,1
O-X--OX--,0.3699444405594406
--X--OX--,0.39403169351620954
XOXXO--O-,0
XOXXO----,0.11683115384615385
XO-XO----,0.272724
OX--XXOXO,1
O---XXOXO,0.666016
O---XXOX-,0.31153938461538466
O---X-OX-,0.40500018181818187
O------X-,0.21633114560028763
O-OXOXXXO,0
--OXOXXXO,0.00046987951807228926
--OXOXX-O,0.3000347222222222
--OXOXX--,0.22178916666666668
--OXO-X--,0.37257172222222223
---XO-X--,0.2816874368298369
OOXXO-XXO,0
OOXX--XXO,0.0004852941176470589
OOXX--X-O,0.32461967213114756
OOXX--X--,0.19987402597402598
OO-X--X--,0.16351425233644862
